gc_orgID,gc_orgID_conflict,harmonized_name,nom_harmonise,abbreviation,abreviation,institution_name_en,institution_name_fr,infosource_url_en,infosource_status_en,infosource_url_fr,infosource_status_fr,website,site_web,open_gov_ouvert,infobaseID,rg,pop,phoenix,match_method_en,match_score_en,match_method_fr,match_score_fr,row_key,url_key_en,url_key_fr
2244,False,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,ACOA,APECA,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,https://www.canada.ca/en/atlantic-canada-opportunities/corporate/transparency/infosourceintroduction.html,200.0,https://www.canada.ca/fr/promotion-economique-canada-atlantique/presentationinfosource.html,200.0,www.acoa-apeca.gc.ca,www.acoa-apeca.gc.ca,acoa-apeca,12,23.0,ACO,ACO00,exact,,exact,,gc:2244,https://canada.ca/atlantic-canada-opportunities/corporate/transparency/infosourceintroduction.html,https://canada.ca/promotion-economique-canada-atlantique/presentationinfosource.html
2245,False,Impact Assessment Agency of Canada,Agence d'évaluation d'impact du Canada,IAAC,AEIC,Impact Assessment Agency of Canada,Agence d’évaluation d’impact du Canada,https://www.canada.ca/en/impact-assessment-agency/corporate/transparency/info-source.html,200.0,https://www.canada.ca/fr/agence-evaluation-impact/organisation/transparence/info-source.html,200.0,https://www.canada.ca/en/impact-assessment-agency.html,https://www.canada.ca/fr/agence-evaluation-impact.html,iaac-aeic,63,194.0,IAA,DOE01,exact,,exact,,gc:2245,https://canada.ca/impact-assessment-agency/corporate/transparency/info-source.html,https://canada.ca/agence-evaluation-impact/organisation/transparence/info-source.html
2246,False,Canadian Grain Commission,Commission canadienne des grains,CGC,CCG,Canadian Grain Commission,Commission canadienne des grains,https://www.grainscanada.gc.ca/en/transparency/info/info-eng.html,200.0,https://www.grainscanada.gc.ca/fr/transparence/info/info-fra.html,200.0,www.grainscanada.gc.ca,www.grainscanada.gc.ca,cgc-ccg,69,133.0,CGC,CGC00,exact,,exact,,gc:2246,https://grainscanada.gc.ca/transparency/info/info-eng.html,https://grainscanada.gc.ca/transparence/info/info-fra.html
2247,False,Canadian Human Rights Commission,Commission canadienne des droits de la personne,CHRC,CCDP,Canadian Human Rights Commission,Commission canadienne des droits de la personne,https://www.chrc-ccdp.gc.ca/sites/default/files/2022-09/OTTAWAITI7-%233111281-v1-Info_Source__Sources_of_Federal_Government_and_Employee_Information_2022_FINAL.pdf,404.0,https://www.chrc-ccdp.gc.ca/sites/default/files/2022-09/OTTAWAITI7-%233111276-v1-Info_Source___Sources_de_renseignements_sur_le_gouvernement_et_les_employes_federaux_2022_FINAL.pdf,404.0,www.chrc-ccdp.gc.ca,www.ccdp-chrc.gc.ca,chrc-ccdp,71,75.0,HRC,HRC00,exact,,exact,,gc:2247,https://chrc-ccdp.gc.ca/sites/default/files/2022-09/OTTAWAITI7-%233111281-v1-Info_Source__Sources_of_Federal_Government_and_Employee_Information_2022_FINAL.pdf,https://chrc-ccdp.gc.ca/sites/default/files/2022-09/OTTAWAITI7-%233111276-v1-Info_Source___Sources_de_renseignements_sur_le_gouvernement_et_les_employes_federaux_2022_FINAL.pdf
2249,False,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord,CanNor,CanNor,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord,http://www.cannor.gc.ca/eng/1395919965310/1395920043963,404.0,http://www.cannor.gc.ca/fra/1395919965310/1395920043963,404.0,www.CanNor.gc.ca,www.CanNor.gc.ca,cannor,86,78.0,NED,NED00,exact,,exact,,gc:2249,https://cannor.gc.ca/1395919965310/1395920043963,https://cannor.gc.ca/1395919965310/1395920043963
2250,False,Canadian Security Intelligence Service,Service canadien du renseignement de sécurité,CSIS,SCRS,Canadian Security Intelligence Service,Service canadien du renseignement de sécurité,https://www.canada.ca/en/security-intelligence-service/corporate/transparency/access-to-information-and-privacy/info-source.html,200.0,https://www.canada.ca/fr/service-renseignement-securite/organisation/transparence/acces-a-linformation-et-protection-des-renseignements-personnels/info-source.html,200.0,https://www.canada.ca/en/security-intelligence-service.html,https://www.canada.ca/fr/service-renseignement-securite.html,csis-scrs,94,95.0,CSI,PAY00,exact,,exact,,gc:2250,https://canada.ca/security-intelligence-service/corporate/transparency/access-to-information-and-privacy/info-source.html,https://canada.ca/service-renseignement-securite/organisation/transparence/acces-a-linformation-et-protection-des-renseignements-personnels/info-source.html
2251,False,Canadian Space Agency,Agence spatiale canadienne,CSA,ASC,Canadian Space Agency,Agence spatiale canadienne,http://asc-csa.gc.ca/eng/transparency/aipa/info-source.asp,200.0,http://asc-csa.gc.ca/fra/transparence/aiprp/info-source.asp,200.0,www.asc-csa.gc.ca,www.asc-csa.gc.ca,csa-asc,95,119.0,CSA,CSA00,exact,,exact,,gc:2251,https://asc-csa.gc.ca/transparency/aipa/info-source.asp,https://asc-csa.gc.ca/transparence/aiprp/info-source.asp
2252,False,Canadian Transportation Agency,Office des transports du Canada,CTA,OTC,Canadian Transportation Agency,Office des transports du Canada,https://www.otc-cta.gc.ca/eng/publication/sources-federal-government-and-employee-information,200.0,https://www.otc-cta.gc.ca/fra/publication/sources-de-renseignements-du-gouvernement-federal-et-sur-les-fonctionnaires-federaux-201,200.0,https://www.otc-cta.gc.ca/eng,https://www.otc-cta.gc.ca/fra,cta-otc,99,40.0,ATN,ATN00,exact,,exact,,gc:2252,https://otc-cta.gc.ca/publication/sources-federal-government-and-employee-information,https://otc-cta.gc.ca/publication/sources-de-renseignements-du-gouvernement-federal-et-sur-les-fonctionnaires-federaux-201
2253,False,Communications Security Establishment Canada,Centre de la sécurité des télécommunications Canada,CSE,CST,Communications Security Establishment Canada,Centre de la sécurité des télécommunications Canada,https://www.cse-cst.gc.ca/en/transparency-transparence/atip-aiprp/infosource,200.0,https://www.cse-cst.gc.ca/fr/transparency-transparence/atip-aiprp/infosource,200.0,www.cse-cst.gc.ca,www.cse-cst.gc.ca,csec-cstc,110,165.0,CSE,CSE00,exact,,exact,,gc:2253,https://cse-cst.gc.ca/transparency-transparence/atip-aiprp/infosource,https://cse-cst.gc.ca/transparency-transparence/atip-aiprp/infosource
2254,False,Copyright Board Canada,Commission du droit d'auteur Canada,CB,CDA,Copyright Board of Canada,Commission du droit d’auteur du Canada,https://cb-cda.gc.ca/en/transparency/access-to-information-and-privacy-acts/how-to-file-a-request,200.0,https://cb-cda.gc.ca/fr/transparence/acces-information-et-protection-des-renseignements-personnels/comment-deposer-une-demande,200.0,https://cb-cda.gc.ca/en,https://cb-cda.gc.ca/fr,cb-cda,114,116.0,COP,COP00,exact,,exact,,gc:2254,https://cb-cda.gc.ca/transparency/access-to-information-and-privacy-acts/how-to-file-a-request,https://cb-cda.gc.ca/transparence/acces-information-et-protection-des-renseignements-personnels/comment-deposer-une-demande
