title,bank_number,description,class_of_individuals,note,social_insurance_number,purpose,consistent_uses,retention_and_disposal_standards,rda_number,related_record_number,last_updated
Veterinary Health Products Notification Program,HC PPU 445,"This bank contains information related to the Veterinary Health Products (VHP) Notification Program, which promotes the safe use of low-risk veterinary products for companion and food-producing animals in Canada. The program is also responsible for assessing adverse event reports to identify rare or serious reactions, update product safety information, issue warnings or advisories, and, when necessary, remove unsafe products from the Canadian market. Personal information is collected when an individual representing a manufacturer, importer, distributor, or marketer creates an account for the VHP Notification Program portal. Personal information is also collected when an individual representing a manufacturer, importer, distributor, marketer, or an individual acting on their own behalf reports an adverse event. The personal information collected includes first and last name, email address, mailing address, password and preferred language. Views, opinions and other personal details may be included in adverse event reports.","Personal information is collected from individuals representing a manufacturer, importer, distributor, or marketer and the general public.",,,"Personal information is collected to facilitate notifying Health Canada of an intent to sell or import a Veterinary Health Product, or to investigate adverse events. The personal information is collected under the authority of section 4 of the *Department of Health Act*.","The personal information is used to communicate with VHP stakeholders, to request additional information, to inform the stakeholder of a submission’s acceptance/rejection, and to request an attestation be provided prior to notification. The personal information in adverse event reports is used to communicate with the reporter, request additional information and investigate the event. There are no other uses or disclosures of this information.",Personal information will be retained for a minimum of two (2) years after the last administrative action and will follow the disposition standards set out by Library and Archives Canada.,2015/006,,
Compliance and Enforcement - Pharmaceutical Drugs,HC PPU 407,"This bank describes information that is used in support of compliance monitoring and enforcement activities related to pharmaceutical human and veterinary drugs as defined under the Food and Drugs Act and the Food and Drugs Regulations. Potential non-compliance may be identified by consumer complaints, industry complaints, referrals from other provincial and federal regulatory agencies, international partners or Health Canada's compliance monitoring activities. The personal information may include name, contact information, biographical information, date of death, educational information, medical information, physical attributes, place of death and written details associated with complaints submitted by the public (what, when, where, who and how something happened), purchasing orders, sales receipts, preferred language and Internet Protocol (IP) addresses including device location, date, time and referrer Uniform Resource Locator (URL) request.","General public, industry employees (manufacturers, importers & distributors), and healthcare facility employees/professionals, representatives acting on behalf of or contracted by regulated parties (legal counsel, consultants).","Although IP addresses, device location and date, time and referrer URL of request are not specifically requested by an institution, they may be captured electronically through technology.",,"The personal information is used to support Health Canada's compliance and enforcement activities, including inspections and investigations, related to human or veterinary drugs. Personal information is collected pursuant to section 4 of the Department of Health Act and section 23(2)(c) of the Food and Drugs Act.","The information may be used or disclosed for the following purposes: audit and evaluation, compliance and enforcement, safety and other personal information may be used to inform the Canada Border Services Agency (CBSA) [CBSA PPU 035] to target a specific individual who has been identified as having potential for non-compliance with the Food and Drugs Act and its associated Regulations. Personal information is collected, audited and evaluated during inspections and investigations may be shared with law enforcement agencies for law enforcement and criminal investigation purposes, with other branches or directorates of Health Canada [HC PPU 088, HC PPU 415 and HC PPU 045] for the administration of other acts under which the human or veterinary drug is regulated, with provincial (or territorial) health professional regulatory bodies when the health and safety of Canadians may be impacted due to non-compliance under a different regulatory jurisdiction, and/or with Health Canada's foreign regulatory counterparts which have similar mandates for the consistent regulation of health products on the international stage.",Personal information will be retained for a minimum of two (2) years after the last administrative action and will follow the disposition standards set out by Library and Archives Canada.,2015/022,,
Biocides Compliance and Enforcement,HC PPU 450,"This bank describes information that is used in support of compliance and enforcement activities related to biocides as defined under the Food and Drugs Act and the Biocides Regulations. Potential non-compliance may be identified by regulated parties, consumer complaints, industry complaints, referrals from other provincial and federal regulatory agencies, international partners or Health Canada's compliance monitoring activities, and company notifications. The personal information may include name, contact information, address, and written details associated with complaints submitted by the public (what, when, where, who and how something happened), purchasing orders, and sales receipts.","General public, health care providers, regulated parties, municipal, provincial or federal partners, and international counterparts.","Although IP addresses, device location and date, time and referrer URL of request are not specifically requested by an institution, they may be captured electronically through technology.",,"The information collected is used to support compliance and enforcement activities, including inspections and investigation activities related to Biocides. Personal information is collected pursuant to section 4 of the *Department of Health Act*, section 23(2)(c) of the *Food and Drugs Act and Biocides Regulations*","Personal information may be used or disclosed for regulatory oversight, compliance and enforcement purposes. Personal information may be shared with other Health Canada programs to support investigation of non-compliance. Personal information may be disclosed to Provinces/Territories or local authorities to protect public health or public safety, enforce compliance or prevent non-compliance with the *Food and Drugs Act* and Biocide Regulations. Personal information may be disclosed to provincial regulatory colleges (e.g., Colleges of Pharmacy), or provincial health authorities, to support professional and/or provincial oversight. Personal information may be disclosed to foreign health product regulators when issues involve international products or companies.",Personal information will be retained for a minimum of two (2) years after the last administrative action and will follow the disposition standards set out by Library and Archives Canada.,2015/022,,
Biological Dosimetry Service,HC PPU 312,"This bank describes information that is related to laboratory testing and reporting performed by Health Canada in assessing suspected occupational and or accidental overexposure to radiation. This activity is undertaken in support of federal departments and agencies, where biodosimetry may be performed for assessing radiation dose to a radiation or nuclear energy worker. These cases are managed through requests from federal departments or agencies (e.g. the Canadian Nuclear Safety Commission, Canadian Space Agency) or the Provincial/Territorial government authorities responsible for radiation safety. This activity is also undertaken in support of the Federal Nuclear Emergency Plan, where biodosimetry may be performed in response to a nuclear or radiological emergency where individuals may be exposed to uncontrolled sources of radiation. The personal information may include name, contact information, biometric information, date of birth, medical information, physical attributes, signature and smoking and radiation exposure history, consent forms and blood samples.","General public, and workers whose occupation may expose them to ionizing radiation in the workplace – these include nuclear energy workers (regulated by the Canadian Nuclear Safety Commission (CNSC)) or other workers exposed to ionizing radiation who fall under federal or provincial/territorial jurisdiction, as well as astronauts.",,,The personal information is used to assess individuals who require testing for overexposure to radiation and to report back the results to the requester; all other personal information is used to assist in the interpretation of results of dose assessments. Personal information is collected pursuant to the Department of Health Act.,"The information may be used or disclosed for audit and evaluation purposes. With consent, personal information may be disclosed to the Canadian Nuclear Safety Commission or the Canadian Space Agency, or another federal or provincial/territorial government authority responsible for radiation safety, for the purpose of their investigation of the individual's radiation dose exposure.",Under Review at LAC - eighty years.,2015/022,,
Biological and Other Research Related to Radiation,HC PPU 310,"This bank describes information that is related to research or studies undertaken to determine the biological and other effects of radiation. The personal information may include name, contact information, biographical information, biometric information, date of birth, educational information, financial information, medical information, physical attributes, place of birth, signature, smoking and radiation history, medical history, behaviors, habits and mood information, consent forms, and blood, urine, saliva and hair samples.","General public/any individuals, who volunteer or who come forward from recruitment programs.","In addition to the requirements specified on the Treasury Board of Canada Secretariat Personal Information Request form, individuals requesting information described by this bank must provide the name, location and year of research or study.",,"The personal information is used to assess the biological health effects caused by radiation, develop new methods/techniques for biologically based dose assessments and determine short and long term health effects of various radiation emitting devices. Personal information is collected pursuant to the Department of Health Act and the Radiation Emitting Devices Act.","The information may be used or disclosed for the following purposes: Other: With consent, personal information is used to re-contact individuals for follow-up if necessary and for further risk assessment; aggregate data is used for program evaluation and published reports. Blood samples connected to age and gender information may be shared with research partners.",Personal information will be retained for a minimum of two (2) years after the last administrative action and will follow the disposition standards set out by Library and Archives Canada.,2015/022,,
National Dose Registry (NDR) for Occupational Exposures,HC PPU 080,"This bank describes information that is related to individuals who may have occupational exposures to ionizing radiation. The personal information is collected from third party dosimetry service providers. Personal information includes the worker's given names, surname and any previous surname; Social Insurance Number (SIN); gender; job category; work history; the date, province and country of birth; whether or not the worker is pregnant and the pregnancy start date; the amount of exposure to radon progeny; and the effective dose and equivalent dose received by and committed to the worker, the name and contact information of the worker's current employer.",Workers exposed to ionizing radiation in the workplace - either nuclear energy workers (Canadian Nuclear Safety Commission (CNSC) regulated) or non-nuclear energy workers who fall under federal or provincial/territorial jurisdiction.,,,"To support the regulatory control of workers to radiation exposures; to assess whether radiation exposure is within regulatory dose limits; to advise employers and the appropriate regulatory authorities that a prescribed dose limit has been exceeded. Personal information is collected under the authority of section (19) of the Radiation Protection Regulations and the Department of Health Act, paragraphs 4(2)(a.1), (b), (c), (d) and (i). The authority for the collection of the SIN can be found under section 19 of the Radiation Protection Regulations and the use by NDR is listed in the TBS Directive on Social Insurance Number.","Personal information may be shared with the CNSC (refer to CNSC PPE 802 Radiation Exposure Records: CNSC Staff and CNSC PPU 050 Miner Exposure Database) or Federal or Provincial/Territorial Regulatory Authority for their investigation on the worker's radiation dose exposure. With written consent from the worker, personal information may be disclosed, by employers and provincial Worker Compensation Boards (WCBs). Personal information is disclosed to Statistics Canada for research and statistical purposes. Personal information, excluding the SIN, may be disclosed to research partners, for research and statistical purposes.",Under Review at LAC - eighty years.,2015/022,HC RP 015,
National Dosimetry Services (NDS) Division,HC PPU 431,"This bank describes information that is related to individuals who may have occupational exposures to ionizing radiation that have been reported through NSD. The personal information may include worker's given names, surname and previous surname, social insurance number (SIN), sex, job classification, employer, work history, date of birth, province of birth, country of birth if born outside Canada, whether or not the worker is pregnant, the dose received by the worker and the name and contact information of the employer.","Workers exposed to ionizing radiation in the workplace - these include nuclear energy workers (regulated by the Canadian Nuclear Safety Commission (CNSC)) or other workers exposed to ionizing radiation who fall under federal or provincial/territorial jurisdiction, as well as emergency responders who respond to a nuclear or radiological emergency in Canada or abroad.",The NSD is a cost recovery service that provides occupational radiation dosimetry services to workers in Canada.,,"The personal information is used to provide dosimetry services to client organizations to monitor occupational radiation exposure of their employees. Other: NSD operates as a Dosimetry Services Provider, licenced by the CNSC under Section 24 of the Nuclear Safety and Control Act. The Social Insurance Number is collected pursuant to the Section 19 b) of the Radiation Protection Regulations (SOR/2000-203) and is used to link an individual to his/her dose history throughout their career.","Personal information is disclosed to the National Dose Registry as required under section 19 of the Radiation Protection Regulations (refer to HVC PPU 080 National Dose Registry (NDR) for Occupational Exposures) Personal information may be shared with the CNSC disclosed for the following purposes: reporting to senior management, safety, evaluation and Other: Personal information is disclosed to the National Dose Registry (NDR) as required under section 19 of the Radiation Protection Regulations (refer to HC PPU 080 National Dose Registry (NDR) for Occupational Exposures). Personal information may be shared with Canadian Nuclear Safety Commission (CNSC); refer to CNSC PPE 802. PIA: No PPIA or PIA has been developed prior to the development of the PIB. The NDS was established in 1954. Health Canada has determined that a PIA was not required and completed instead, a privacy protocol, to assess privacy risks.",Under Review at LAC - eighty years.,2015/22,,
Public Service Occupational Health Program,HC PCE 701,"This bank describes information related to the provision of occupational health services and superannuation services by the Public Service Occupational Health Program (PSOHP). The personal information the program gathers may include names, contact information, physical attributes, biographical information, date of birth, employee information, employment equity information, medical information (e.g., clinical notes and recommendations, workplace accommodations, laboratory or test results), employee identification number, signature, and language.","Full- or part-time employees of institutions, both current and former employees; other types of employees of institutions (e.g. seasonal); candidates for employment by institutions; family members (e.g., dependants, spouses, common-law partners, etc.)",Modification pending TBS approval.,,Personal information is used to administer the Public Service Occupational Health Program. Personal information is collected pursuant to section 4(2)(f) of the *Department of Health Act*.,"Personal information necessary to provide recommendations on the ability to meet the occupational health requirements of a position or proposed posting, or following occupational surveillance activities, and information about limitations, restrictions, or safety concerns, may be shared with the employing federal institution. Personal information (e.g., reportable communicable diseases, adverse drug or vaccine reactions, seafarer and driver fitness) may be shared with federal, provincial and territorial authorities in accordance with health professional reporting obligations. Personal information may be shared with the Public Service Occupational Health Program Review Committee (PRC) for responding to complaints made to the Canadian Human Rights Commission (CHRC); or requests submitted by employing federal institutions or PSOHP clinicians to review the outcomes of occupational health evaluations. Personal information related to an applicant's ability to meet the criteria for retirement on medical grounds or buy back of pensionable service may be shared with the Government of Canada Public Service Pension Centre.","Occupational health files are retained for 30 years following last administrative action, and then destroyed.",2015/022,HC SHS 005,
Employee Assistance Services,HC PCU 705,"This bank describes information related to the Employee Assistance Services (EAS) including individual and couples crisis and short term counselling, conflict management training, coaching and mediation for individuals, pairs and groups, and, harassment and violence prevention and resolution services. Personal information may include name, contact information, employing institution, occupational group, gender, age range, reason for consultation, referral, counselling coaching mediation and training notes, number and date of visits, parental consent for service to minors, signature, views and opinions, counsellor and client numbers, and, depending on issue being discussed, medical information. With consent, the following personal information may also be collected: gender identity, ethnic origin, race, religion, and disability. Health Canada provides Employee Assistance Services on behalf of most federal institutions. The services are provided by trained employees and by Mental Health Professionals (MHP) hired by contract to provide the services on behalf of the EAS. The licensed MHPs are required to be in good standing with their provincial regulatory organization and the personal information collected by the MHPs remains under the control of the EAS as per contractual clauses. In addition to the requirements specified on the Treasury Board of Canada Secretariat Personal Information Request Form, an individual requesting access to information described in this bank is encouraged to provide sufficient information to locate the requested data (for example; name of service provider, type of service provided, city of service, home department at the time, phone number provided when service was initiated).",Current or former federal employees and their families who are eligible and access Employee Assistance Services through Health Canada and their service providers; former clients from non-federal institutions.,,,"The personal is collected under the *Department of Health Act* 4(2)(f) and is used to: determine eligibility for Employee Assistance Services; to provide counselling, coaching, conflict management and mediation services, referrals and to provide training. Some personal information is used to identify service utilization.","The information may be used or disclosed for the following purposes: In limited and specific circumstances, personal information may be disclosed to law enforcement officials if child abuse is suspected or if the client threatened harm to themselves or other individuals. With consent, clients may be contacted to assess the services received for quality assurance purposes. Information will be used for program evaluation and service utilization and may be disclosed to client institutions under agreement in the form of disaggregated data. Information related to contracted service providers is described PSU 912 Professional Service Contracts, and may be used or disclosed in accordance with that PIB. In addition, in limited circumstances, relevant information may be disclosed to a professional regulatory organization, when there is a reasonable need-to-know and the information is necessary to investigate a complaint against the Mental Health Professional's practice or conduct, when providing services on behalf of the EAS. Information related to contracted service providers is described PSU 912 Professional Service Contracts, and may be used or disclosed in accordance with that PIB.",Two (2) years after the last administration action.,2015/022,HC SHS 005,
Peer Support Program,HC PPU 921,"This bank describes information that is about individuals participating in the peer support program. Peer support is an effective approach to improving mental health that can complement clinical interventions and is also a source of support to those who might be struggling, be it at work, with family, or in other areas in life. Peer support is based on the premise that those who have experienced, endured, and overcome hardship can provide effective support, encouragement, and hope to others who are now facing similar challenges. Offering a workplace peer support program helps us to meet the National Standard for Psychological Health & Safety in the workplace. The personal information of a peer supporter may include name, contact information, biographical information, medical information, signature, age, photos, and preferred language. The personal information a peer supporter may collect includes an interaction number, date of interaction, length of interaction, the method of communication (telephone, email, or face-to-face), reason for interaction (personal or workplace issue and depending on the issue being discussed, medical information), nature of help provided, internal resources shared, external resources shared, and comments about the interaction. A peers name is never collected as personal information.",CSB employees participating in the Peer Support Program.,Corporate Services Branch employees are eligible to access the peer support program.,,The peer supporters personal information is used to help employees connect with a peer supporter that has lived or living experience that is similar experience to their own. The peers information is used to identify service utilization. The personal information is used to administer the peer support program or activity. Personal information is collected pursuant to sections 4(1) and 4(2)(f) of the Department of Health Act.,The information may be used or disclosed for the following purposes: create an inventory of peer support volunteers; program evaluation and reporting to senior management and to provide peer support to employees seeking assistance with mental health issues/illness. Personal information may be shared with 911 authorities in the event of an emergency. Personal information may be shared with a third party service provider contracted to implement and manage the peer support program; all personal information remains under the control of Health Canada as per contractual clauses.,Personal information will be retained for a minimum of two (2) years after the last administrative action and will follow the disposition standards set out by Library and Archives Canada.,2015/022,,
Internationally Protected Persons Program,HC PPU 446,"This bank describes information related to the Internationally Protected Persons (IPP) Program that coordinates health protection measures for visiting dignitaries during Major International Events hosted in Canada. The program supports Canada’s commitment to safeguarding the health and safety of heads of state, heads of government, and other representatives of international organizations, along with their accompanying family members. Personal information collected includes : first and last names, official title, country or delegation, medical information, food allergies, signature, and the security level of IPPs, name, title and phone number of signatories. It also collects the names and contact information of personnel involved in the visit.","Heads of state, heads of government, and other representatives of international organizations, along with their accompanying family members. Information is also collected includes the names and contact information of personnel involved in the visit.",,,"The information collected is used to coordinating health-related services, including food surveillance and emergency health planning to coordinate logistics, including surveillance schedules, site access procedures, and staffing requirements. The program has the legal authority to collect this information under section 4 of the *Department of Health Act*, which mandates Health Canada to promote and preserve the health of Canadians.","Information is shared to support a coordinated response efforts to ensures the safety and well-being of IPPs. The program shares this information with the visit host, with provincial and municipal partners in the event of an emergency, and when applicable, with hospital staff, paramedics, and Food Surveillance Officers.",Health Canada will retain the information for a minimum of two years and then review it for possible transfer to Library and Archives Canada.,2015/022,,
Nurse and Healthcare Practitioner Practice and Standards Reviews,HC PPU 022,"This bank describes information that is related to nurses and other healthcare practitioners' professional practice and standards while working for Health Canada in any capacity. The personal information may include name, contact information, complaints concerning the health care practitioner, biographical information, employee personnel information, employee and other identification numbers, educational and certification information, employee practice as a registered professional, medical information, observations, views and opinions of, and about an individual.",Employees of Health Canada and individuals who file complaints concerning an employee's professional practices.,,,"The personal information is used to evaluate and monitor health care professionals against the requirements of their professional regulatory body and other regulatory requirements to which they are subject in the course of their work and in response to complaints, deaths of patients or regulatory investigations or reviews; to determine their level of skill in fulfilling those requirements including the identification of training and development needs. Personal information is collected pursuant to section 12 of the Financial Administration Act.","Personal information may be used for audit and evaluation purposes. To support decisions regarding promotions, transfers, demotion, employee assistance, discipline, termination of employment and administrative investigations. The information may be shared as described in Standard Personal Information Banks the Employee Performance Management Program PSE 912, Internal Audit PSU 941, and Discipline PSE 911. Information may be disclosed to the employee's professional regulatory body.",Personal information will be retained for a minimum of two (2) years after the last administrative action and will follow the disposition standards set out by Library and Archives Canada.,2015/022,,
Case-Control Study on Passive Smoking and Lung Cancer,HC PPU 038,"This bank contains demographic information, and information on exposure to passive smoking, familial history of cancer, personal history of respiratory illness, occupational history, diet, environmental exposures, residential history, and radon exposure for about 735 non-smoking lung cancer cases and about 735 controls, across Canada. This bank also contains demographic information on personal smoking history, and a brief occupational history for about 38,000 smoking lung cancer cases across Canada.","Individuals diagnosed with primary lung cancer between January 1, 1995 and December 31, 1996 (approx.). Controls matched to non-smoking lung cancer cases.",,,"To examine the relationship between exposure to environmental tobacco smoke and the incidence of lung cancer, adjusting for the effects of other potential risk factors including occupation, diet, and environmental radon; to estimate incidence of smoking among lung cancer cases in Canada.",None.,"Retained a minimum of ten years, and then reviewed for possible transfer to Library and Archives Canada (excluding questionnaires, which may be destroyed after two years). **RDA Number: 2015/022**",,HC SUA 005,
Outreach Activities Related to Tobacco and Vaping Products,HC PPU 410,"This bank describes information that is related to individuals who participate in Health Canada sponsored outreach activities related to tobacco and vaping product use and tobacco and vaping product regulations. Activities may involve consultations through various means, including hard-copy correspondence, e-mail, or the use of social media sites including wikis, blogs, and other collaborative Internet technologies that are used or hosted by the institution; contests, competitions, and success stories; and may involve the need for license agreements. In some cases, consultations will be recorded. The personal information may include name, contact information, biographical information, date of birth, date of death, medical information, activities related to tobacco and vaping products, photographs, and views and opinions of or about tobacco and vaping products.","General public, representatives of the academic and medical community, the tobacco and vaping industry, retailers, public health organizations, provincial and territorial governments, foreign governments, non-governmental Organizations, and Indigenous Peoples","In addition to the requirements specified on the Treasury Board of Canada Secretariat Personal Information Request form, individuals requesting information described by this bank must provide the title and date of the outreach activity, wherever possible.",,The personal information is used to fulfill Health Canada outreach activities related to tobacco and vaping product use and tobacco and vaping product regulations. Personal information is collected pursuant to the Tobacco and Vaping Products Act (TVPA) and its related regulations.,"The information may be used or disclosed for the following purposes: program evaluation and Other: with notification, the proceedings of some tobacco and vaping outreach activities that are recorded may be made publicly available, including on the Internet. With consent, the contact information may be used to establish mailing lists to inform participants of future events, to contact individuals to seek views on issues of mutual interest.",Personal information will be retained for 10 years after the last administrative action and will follow the disposition standards set out by Library and Archives Canada. **RDA Number: 2015/022**,,,
"Tobacco Labelling Licenses Agreements, Authorization and Consent Forms",HC PPU 305,"This bank describes information that is related to individuals who have signed license agreements, authorization and consent forms allowing Health Canada to use their photograph, tobacco related illness and story on its health warnings and health information messages displayed on tobacco product packages or used in tobacco related outreach activities, (e.g., announcements, social marketing campaign and public opinion research). The personal information may include name, contact information, biographical information, date of birth, date of death, financial information, medical information, activities related to tobacco, photographs, and opinions and views of, or about, tobacco.","General public, individuals who sign an authorization form or licence agreement with Health Canada.",,,"The personal information is used to ensure licensing rights and consent to display messages on tobacco product packaging and outreach activities that inform individuals of the health risks associated with using tobacco products. Personal information is collected pursuant to Tobacco and Vaping Products Act, and Tobacco Products Appearance, Packaging and Labelling Regulations.","The information may be used or disclosed for the following purposes: contact information may be used to contact individuals who have provided testimonials to participate in departmental activities related to tobacco (e.g. announcements). With consent first name, medical information, photographs, opinions or views of, or about, tobacco may be used for anti-tobacco related promotional materials and activities.",Personal information will be retained for a minimum of two (2) years after the last administrative action and will follow the disposition standards set out by Library and Archives Canada.,2015/022,HC SUA 005,
Tobacco and Vaping Product Research,HC PPU 432,"This bank describes information that is about individuals who have participated in research concerning tobacco and vaping products and the health impact of tobacco and vaping products. The personal information may include contact information, date of birth, educational information, sex, financial information, medical information, name, other identification numbers, physical attributes, personal views or opinions, personal product use, dietary information, human biological materials and signature.","General Public, individuals who volunteer or who are solicited to participate in a particular research.","In addition to the requirements specified on the Personal Information Request form, individuals requesting information described by this bank must provide the name, date and location of the research in which they participated. Pending TBS approval.",,The personal information is used to determine the effects of tobacco and vaping products on individuals. Personal information is collected pursuant to the Tobacco and Vaping Products Act (1997) and the Department of Health Act (1996).,"The information may be used or disclosed for research, statistical, and health surveillance purposes. Personal information may be disclosed to contracted third parties to analyze human biological materials.",Personal information will be retained for a minimum of two (2) years after the last administrative action and will follow the disposition standards set out by Library and Archives Canada.,2015/022,,
"Tobacco and Vaping Products Compliance, Monitoring and Enforcement",HC PPU 433,"This bank describes personal information that is used in support of compliance monitoring and enforcement activities related to the manufacture, sale, labelling and promotion of tobacco products and vaping products as set out in the Tobacco and Vaping Products Act. Potential non-compliance may be identified by consumer and public complaints, industry complaints or observations on social media channels. The personal information may include name, language preference, contact information, views, opinions, experiences of complaints. Personal information associated with inspections, compliance monitoring includes: name, language preference and contact information. In addition, if a contravention is issued under the authority of the Contraventions Act, the outcome of any prosecution process which results from the issuance of said contravention will also be documented.","General public, complainants such as industry employees (e.g., manufacturers, retailers, distributors).",,,"The personal information will be used to support compliance and enforcement activities, including inspections and investigations related to tobacco and vaping products. The personal information is collected pursuant to Part V (Sections 34-38) of the Tobacco and Vaping Products Act.","Personal information collected during inspections (on-site and online) and investigations may be shared with local judiciary for approval of search warrants, law enforcement agencies for execution of search warrants and with the Department of Justice, Public Prosecution Services of Canada ([Prosecution and Related Criminal Matters JUS PPU 015](http://www.justice.gc.ca/eng/trans/atip-aiprp/infosource/p5.html)) for the purpose of prosecution of criminal offences under the Tobacco and Vaping Products Act. The information may also be used for reporting to senior management, inform policy development, for audit and evaluation.",Personal information will be retained for a minimum of two (2) years after the last administrative action and will follow the disposition standards set out by Library and Archives Canada.,2015/022,,
