title,bank_number,description,class_of_individuals,note,social_insurance_number,purpose,consistent_uses,retention_and_disposal_standards,rda_number,related_record_number,last_updated
Canada Vigilance Adverse Reaction Program,HC PPU 417,"This bank describes information collected by Health Canada regarding adverse reactions to drugs, natural health products, diagnostic or therapeutic health products, biologics, cells, tissues and organs. The personal information collected may include the name and contact information and signature of the individual reporting the reaction and information regarding the individual who experienced the reaction including their initials, physical attributes, date and place of birth and death, medical information, biographical information, identifying file number, adverse reaction history details and the facility where the individual has received treatment.","General public, industry employees (manufacturers, importers, distributors), and health care facility employees/professionals who report adverse reactions and the individuals who experienced the adverse reaction.",,,"To assess adverse reaction reports; monitor safety; and enforce relevant legislation(s) where applicable. Information is collected pursuant to the Department of Health Act, section 4; Food and Drug Regulations, Section(s) C.01.017, C.05.014, C.08.010 (b), C.08.008 (c); (i) Safety of Human Cells, Tissues and Organs for Transplantation Regulations; Section 51 (1) Blood Regulations; Sections 109-116, the Natural Health Products Regulations; Part 1 and Safety of Sperm and Ova Regulations; sections 69 to 76.","Vaccine adverse reaction reports may be disclosed to the provincial or territorial bodies responsible for public health for follow up. Personal information may be used to analyze general trends, report to senior management, as well as audit related programs and services. Trend and safety data in a de-identified format may be communicated by a variety of risk communication tools and/or responses to inquiries. A subset of de-identified Canada Vigilance data is made publicly available from the Canada Vigilance Adverse Reaction Online Database. Personal information may be shared with the Public Health Agency of Canada, Canadian Medication Incident Reporting and Prevention (managed in partnership with the Canadian Institute for Health Information), the Institute for Safe Medication Practices, the Canadian Safety Institute, and international regulatory and health product monitoring authorities, for monitoring adverse reactions. In limited and specific circumstances, personal information may be disclosed to law enforcement where disclosure is necessary for the purpose of eliminating or reducing a significant risk of serious bodily harm to a person or group of persons.",Retained for seventy-five years after receipt of adverse reaction report.,2015/022,HC HP 005; HC HP 025,
Border Program,HC PPU 436,"This bank describes information that is related to the Border Program. The Border Program conducts compliance and enforcement activities for imported health products (e.g., drugs, natural health products and medical devices) to ensure that they meet the requirements of admissibility under the Food and Drugs Act and its associated Regulations before they are allowed into Canada. The personal information may include name, contact information, customs identifier, license information, medical information (if related to the importer/exporter), and product information (where it reveals personal information about the importer/exporter).",Individuals who attempt to import or export health products,Information may be stored in the following internal systems/databases: Border Compliance and Operations Database.,,The personal information is used by the Border Program to assess the admissibility of the health product for import/export. Personal information is collected pursuant to 23(1)(c) of the Food and Drugs Act.,"Personal information may be used for program evaluation, statistical, compliance and enforcement purposes [HC PPU 402; HC PPU 405; HC PPU 406; HC PPU 407; HC PPU 408] and shared with the Special Access Program [HC PPU 414; HC PPU 430] and the Canada Border Services Agency.",Personal information will be retained for a minimum of two (2) years after the last administrative action and will follow the disposition standards set out by Library and Archives Canada.,2015/022,,
Compliance and Enforcement - Biologics & Radiopharmaceuticals,HC PPU 408,"This bank describes information that is used in support of compliance monitoring and enforcement activities related to biologics and radiopharmaceuticals. Regulated products include blood and blood products, donor sperm and ova (eggs) and in vitro embryos for the purpose of assisted human reproduction, viral and bacterial vaccines, gene therapy products, cells, tissues, organs and xerographs, which are manufactured in Canada or elsewhere.","General public, industry employees (manufacturers, primary establishments, importers and distributors), health care professionals and healthcare facility employees/professionals.",,,"The personal information is used to support Health Canada's compliance and enforcement activities, including inspections and investigations, related to biologics and radiopharmaceuticals. Personal information is collected pursuant to 23(1)(c) of the Food and Drugs Act; Food and Drugs Regulations; Safety of Human Cells, Tissues and Organs for Transplantation Regulations; pursuant to 47 (2) of the Assisted Human Reproduction Act; Safety of Sperm and Ova Regulations; Reimbursement Related to Assisted Human Reproduction Regulations; Administration and Enforcement (Assisted Human Reproduction Act) Regulations; Consent for Use of Human Reproductive Material and In Vitro Embryos Regulations.","The information may be used or disclosed for the following purposes: audit and evaluation, compliance and enforcement, and safety purposes. Information may be disclosed to the Canada Border Services Agency (CBSA) [CBSA PPU 035] to target a specific individual who has been identified as having potential for non-compliance with the Food and Drugs Act, the Assisted Human Reproduction Act and its associated Regulations. Personal information collected, audited and evaluated during inspections and investigations may be shared with law enforcement agencies for law enforcement and criminal investigation purposes, with other branches or directorates of Health Canada for the administration of other acts under which biologic or radiopharmaceutical is regulated, with provincial (or territorial) health professional regulatory bodies when the health and safety of Canadians may be impacted due to non-compliance under a different regulatory jurisdiction, and/or with Health Canada's foreign regulatory counterparts which have similar mandates for the consistent regulation of health products on the international stage.",Personal information will be retained for a minimum of two (2) years after the last administrative action and will follow the disposition standards set out by Library and Archives Canada.,2015/022,,
Food and Drugs Act Liaison,HC PPU 411,"Includes records related to complaints, concerns or enquiries pertaining to the Food and Drugs Act. These records assist the department to communicate with stakeholders, facilitate resolutions, and prepare reports. This bank describes information that is used in support of the activities of Food and Drugs Act Liaison Office and requests under the reconsideration process for decisions about human drugs and natural health products. Activities may include interactions with external stakeholders and Health Canada staff regarding regulatory process, as well as receiving and responding to complaints, concerns or enquiries about alleged acts, omissions, improprieties and broader systemic problems on matters pertaining to the Food and Drugs Act. The personal information may include name, contact information, biographical information, medical information, physical attributes, signature, complaint, and official language of preference.","General public, government employees, business contacts, and academia.",Information may be stored in the following internal systems/databases: Food and Drug Act Liaison Office Case Tracking System.,,"The personal information is used to communicate with stakeholders, to respond to complaints and enquiries by facilitating the resolution of issues concerning the Food and Drugs Act. Personal information is collected pursuant to the Food and Drugs Act.","The information may be used or disclosed for the following purposes: reporting to senior management, audit and evaluation and annual reporting (in aggregate format). With consent, personal information may be disclosed to Health Canada staff, for resolving complaints. With consent, personal information may be shared with Canada Food Inspection Agency employees to resolve complaints.",Retained for seven years after case closed.,2015/022,,
Authorizations for marihuana for medical purposes,HC PPU 073,"This bank describes information that is related to applications for authorization to possess and/or produce marihuana and to purchase dried marihuana and/or marihuana seeds, for medical purposes under the Marihuana Medical Access Program. The personal information may include name, contact information, biometric information, credit information, criminal checks/history, date of birth, date of death, medical information, other identification numbers, physical attributes, signature and physician's support of the application, consent of the property owner for marihuana production, consent of the applicant to disclose to an authorized individual, photograph of the applicant and power of attorney.","Applicants to the Marihuana Medical Access Program, physicians who support medical marihuana access applicants, property owners who allow marihuana production, individuals given permission to act on behalf of applicants, complainants.","The Marihuana Medical Access Regulations were repealed on March 31, 2014. New applications are no longer being accepted under these regulations.",,"The personal information is used to determine eligibility to produce and/or possess marihuana, to provide dry marihuana or seeds, and to process payments for purchase of marihuana and seeds. Personal information is collected pursuant to section 56 of the Controlled Drugs and Substances Act and under the Marihuana Medical Access Regulations (MMAR).","The information may be used or disclosed for the following purposes: may use applicant information to contact a supporting physician in order to verify medical information on the application form, and contact information for consultations on new regulations; may disclose contact and order information to a contracted product supplier, contact and overdue accounts receivable information to a collection agency, may use personal information collected under MMAR to inform the Marihuana for Medical Purposes Regulations (MMPR) security clearance process for those individuals who have applied for licenses under the MMPR. Health Canada discloses, audits and evaluates personal information and the terms and conditions of the authorization to law enforcement agencies.",Personal information will be retained for a minimum of two (2) years after the last administrative action and will follow the disposition standards set out by Library and Archives Canada.,2015/022,,
"Licences, Permits and Other Authorizations under the *Cannabis Act*",HC PPU 439,"This bank describes information that is related to licences, permits and other authorizations under the *Cannabis Act*, as well as exemptions to the *Cannabis Act*. Personal information may include name, date of birth, contact information (work and/or home information), biometric information such has finger/handprints, criminal records checks/history, law enforcement record checks (which can include allegations or suspicions based on law enforcement files and observations), investigations, charges, conviction dates and locations, and pardons. Educational information such as school history, post secondary institution attended, transcripts, references. Employment equity information such as gender, designated group, visible minorities. Financial information such as credit card information, credit report/scores, liens, bankruptcies, third-party collections, investments, mortgages, loans, orders of garnishment, financial institution information, account numbers and names on accounts, medical information including physical disabilities, medications, and conditions. Other forms of identification such as drivers' licences. Physical attributes such as gender, height, weight, color of hair and eyes, complexion, tattoos, piercings, scars, birth marks, physical disabilities etc., signature.","General public, family members, dependants, spouses, common-law partners, First Nations, Metis and Inuit involved in the licensing application process under the Cannabis Act.","In addition to the requirements specified on the Treasury Board of Canada Secretariat's Personal Information Request form, individuals requesting information described by this bank must provide proof of identification including name, address, and where applicable, written third-party authorization, licence or Health Canada application number.",,"The personal information is used to process different types of licences, exemptions and permits available under the Cannabis Act and is collected pursuant to the Cannabis Act, the Cannabis Regulations and the Industrial Hemp Regulations. The licence application process is enabled by section 62 of the *Cannabis Act*.","The information may be used or disclosed for the following purposes: compliance and enforcement, program administration, such as the management of licences, as well as audit and evaluation. Personal information may be shared with Canada Border Services Canada (CBSA), for example to notify if a permit was issued by error or had been revoked. Personal information may be shared with the Canada Revenue Agency (CRA) to inform them that Health Canada has granted a licence under the Cannabis Act so they can grant a corresponding licence under the Excise Act. Personal Information may be shared with Statistics Canada (SC) to enable them to contact licence holders to inform them of their reporting requirements to SC and for statistical and research purposes. Personal information may be shared with Indigenous Services Canada to verify if an applicant of a Indigenous Services Canada program is a licence holder. Personal information may be shared with the Royal Canadian Mounted Police (RCMP) for the security clearance process. Personal information may be shared with Provinces/Territories, and local authorities or law enforcement authorities to control the access, production, distribution and sale of cannabis. Upon request, information may also be shared for the purposes of protecting public health or public safety, enforcing compliance or preventing non-compliance with the Cannabis Act or its regulations, or for the purposes of an investigation and the administration or enforcement of the Act or its regulations. Information may be shared for the purpose of protecting public health or public safety. Information may be disclosed to provincial, territorial, or municipal governments or institutions to verify or enforce regulatory compliance. Licence holder information, licensed site address, list of activities authorized for under the Cannabis Act and Cannabis Regulations, total number of licence applicants and licence holders located in British Columbia with an Indigenous affiliation may be disclosed to the province of British Columbia provincial authority for compliance purposes, and to protect public health or public safety. In addition, information with respect to cannabis cultivation and processing licences in the Mohawk Territory of Kahnawake may be disclosed to Mohawk Council of Kahnawà:ke (MCK) to satisfy the dual licensing process (requiring an applicant to obtain licences from both MCK and Health Canada).",Personal information will be retained for a minimum of 2 years after last action.,Under development,,
Supervised Consumption Sites,HC PPU 442,This bank describes information related to the application process in which Health Canada's Office of Controlled Substances (OCS) collects personal information about individuals proposed to work at a Supervised Consumption Site (SCS) under the Controlled Drugs and Substances Act.,This program impacts individuals who are identified as proposed responsible personnel during the Supervised Consumption Site application process.,"In addition to the requirements specified on the Treasury Board of Canada Secretariat's Personal Information Request form, individuals requesting information described by this bank must provide proof of identification including name, address, and where applicable, written third-party authorization",,The collection of the personal information is authorized under the Controlled Drugs and Substances Act. The personal information is used to process applications for a Section 56.1 exemption for medical purpose – supervised consumption site under the Controlled Drugs and Substances Act.,"The information may be used to provide reports to management. The information may also be used for research, planning, audit and evaluation purposes. Site-specific information, including limited personal information, may also be communicated to provincial or municipal authorities, for security purposes. In limited and specific situations, personal information may be disclosed without consent to law enforcement or in accordance with subsection 8(2)(e)of the Privacy Act. In limited circumstances, information about SCS personnel who are pharmacists may be disclosed to provincial licensing authorities, pursuant to 8(2)(b) of the Privacy Act, referencing section 46 of the Narcotic Control Regulations, section 81(1) of the Benzodiazepines and Other Targeted Substances Regulations, and G.03.01, G.04.004 and G.06.006(1) of the Food and Drug Regulations.",Personal information will be retained for a minimum of two (2) years after the last administrative action and will follow the disposition standards set out by Library and Archives Canada.,Under development,,
Requests for Disclosure of Confidential Business Information,HC PPU 416,"This bank describes information that is used in support of the processing and assessment of requests for confidential business information under the Food and Drugs Act. The personal information may include the requester's name, contact information, work history, educational information, signature, preferred language, conflict of interest declaration including funding affiliations and financial interests.",General public,"Information may be stored in the following internal systems/databases: Records, Document and Information Management System (RDIMS).",,The personal information is used to determine whether to grant or deny access to the requested confidential business information and whether the requester fulfills the criteria under the Food and Drugs Act that they carry out functions relating to the protection or promotion of human health or the safety of the public. Personal information is collected pursuant to paragraph 21.1(3)(c) of the Food and Drugs Act.,"The information may be used or disclosed for the following purposes: the name of the requester, their affiliations, confirmation that a confidentiality agreement was signed, and the subject of the requested information to the originator of the confidential business information and/or the public. De-identified reports may be submitted to senior management to report on the number of requests that have been received and responded to.",Retained for two years after last administration action.,2015/022,,
Branch Incident Reporting,HC PPU 088,"This bank contains information about, inspections, incidents, complaints or enquiries, pertaining to actual or perceived health or safety problems or concerns with consumer products, cosmetics and other items that are regulated by Health Canada. Information may include name, age, gender, address, telephone number and email of the contact person, product description (make, model, serial number or other identifying number), location of incident, any follow-up action taken and other details required for any necessary intervention by Health Canada or other authorities.","Canadians or people in Canada, medical practitioners and hospital authorities, police and customs agents, coroners and provincial medical officers of health, certification bodies accredited by the Standards Council of Canada, and representatives of manufacturers or trade who may be involved with the reporting of or follow-up of health or safety incidents, complaints or enquiries, pertaining to consumer products and cosmetics.",,,"To investigate and track health and safety and incident reports, complaints and enquiries, pertaining to consumer products and cosmetics that were received by the Department. *Under the Canada Consumer Product Safety Act* (CCPSA) manufacturers, importers and sellers of a consumer product for commercial purposes are required to provide information regarding any incident related to the product. The information is being collected for the purpose of assessing and mitigating risks to human health or safety from consumer products. The personal information is collected under the authority of the Department of Health Act for the purpose of informing a broad range of Health Canada's activities in relation to promotion and preservation of health, including monitoring trends.","Information may be used to follow-up with the person reporting the incident to obtain more information, or with the company responsible for the product to assess its compliance and safety. It may be shared with other domestic or foreign regulatory or health authorities, to identify or address a serious danger to human health or safety.","10 years, reviewed for extended retention or disposal after retention period completed.",2015/022,HC CPS 005,
Compliance and Enforcement - Pest Control Products,HC PPU 402,"This bank describes information that is used in support of compliance and enforcement activities related to pest control products as defined under the Pest Control Products Act and its regulations. Potential non-compliance may be identified by consumer complaints, industry complaints, referrals from other provincial and federal regulatory agencies, international partners or Health Canada's other compliance and enforcement activities. The personal information may include name, contact information, biographical information, written details associated with complaints submitted to Health Canada (what, when, where, who and how something happened), and records of import, manufacture, distribution, storage, possession, and use.","General public, particularly those impacted by activities related to pest control products and regulated parties under the Pest Control Products Act and its regulations.",,,"The personal information is used to support Health Canada's compliance and enforcement activities, including compliance promotion, inspections and investigations, related to pest control products. Personal information is collected pursuant to section 48(1) of the Pest Control Products Act and its regulations.","Personal information may be disclosed to the Canada Border Services Agency (CBSA) [CBSA PPU 035] to target a specific individual who has been identified as having potential for non-compliance with the Pest Control Products Act and its regulations. Personal information collected during inspections and investigations may be shared with law enforcement agencies for law enforcement and criminal investigation purposes, with other branches or directorates of Health Canada [HC PPU 088, HC PPU 406, HC 415 and HC PPU 045] for the administration of other acts under which the pest control products are regulated, with provincial (or territorial) pest control product regulatory bodies when the health and safety of Canadians may be impacted due to a non-compliance under a different regulatory jurisdiction, and/or with Health Canada's foreign regulatory counterparts which have similar mandates for the consistent regulation of pest control products on the international stage. Personal information may also be used for reporting to senior management or program evaluation.",Personal information will be retained for a minimum of two (2) years after the last administrative action and will follow the disposition standards set out by Library and Archives Canada.,2015/022,,
